timeClose,close,volume,marketCap
2024-06-11T23:59:59.999Z,67332.030,37116136345.4,1327182056471.57
2024-06-12T23:59:59.999Z,68241.184,34497940693.82,1345134120906.92
2024-06-13T23:59:59.999Z,66756.397,28955204145.83,1315894956574.15
2024-06-14T23:59:59.999Z,66011.094,27403884779.06,1301221571383.53
2024-06-15T23:59:59.999Z,66191.000,14121265575.81,1304788441997.33
2024-06-16T23:59:59.999Z,66639.047,13281140540.78,1313672583954.16
2024-06-17T23:59:59.999Z,66490.294,30006354475.77,1310771374540.33
2024-06-18T23:59:59.999Z,65140.745,39481285949.68,1284195191637.24
2024-06-19T23:59:59.999Z,64960.295,21103423504.4,1280662535002.41
2024-06-20T23:59:59.999Z,64828.656,25641109124.03,1278081520105.03
2024-06-21T23:59:59.999Z,64096.198,26188171739.19,1263661931352.75
2024-06-22T23:59:59.999Z,64252.579,9858198792.61,1266764455740.04
2024-06-23T23:59:59.999Z,63180.798,11170471802.36,1245656822237.84
2024-06-24T23:59:59.999Z,60277.415,43152133650.56,1188446806983.14
2024-06-25T23:59:59.999Z,61804.641,29201215430.56,1218587029578.41
2024-06-26T23:59:59.999Z,60811.278,22506003064.37,1199038781431.77
2024-06-27T23:59:59.999Z,61604.802,21231745044.69,1214717875147.04
2024-06-28T23:59:59.999Z,60320.136,24952866877.23,1189406366262.41
2024-06-29T23:59:59.999Z,60887.381,12652903395.87,1200610071822.96
2024-06-30T23:59:59.999Z,62678.292,17333226408.92,1235944779945.39
2024-07-01T23:59:59.999Z,62851.980,25468379421.26,1239386428568.86
2024-07-02T23:59:59.999Z,62029.017,20151616991.74,1223171892635.89
2024-07-03T23:59:59.999Z,60173.924,29756701684.52,1186592344846.68
2024-07-04T23:59:59.999Z,56977.701,41149609229.76,1123568935037.48
2024-07-05T23:59:59.999Z,56662.373,55417544033.35,1117355596306.79
2024-07-06T23:59:59.999Z,58303.539,20610320576.89,1149721701454.25
2024-07-07T23:59:59.999Z,55849.111,20553359505.21,1101324021018.89
2024-07-08T23:59:59.999Z,56705.098,39766159898.66,1118206962401.32
2024-07-09T23:59:59.999Z,58009.226,27849512607.28,1143927440649.47
2024-07-10T23:59:59.999Z,57742.495,26175260525.73,1138673101575.64
2024-07-11T23:59:59.999Z,57344.915,28707803842.25,1130840802043.28
2024-07-12T23:59:59.999Z,57899.466,25604805220.57,1141786144917.27
2024-07-13T23:59:59.999Z,59231.953,17080061806.26,1168067978181
2024-07-14T23:59:59.999Z,60787.792,22223416060.82,1198755021571.63
2024-07-15T23:59:59.999Z,64870.153,38094526099.38,1279638364954.2
2024-07-16T23:59:59.999Z,65097.147,41617346767.84,1284144530410.43
2024-07-17T23:59:59.999Z,64118.793,32525071310.74,1264876808968.35
2024-07-18T23:59:59.999Z,63974.067,27239305336.94,1262047185003.48
2024-07-19T23:59:59.999Z,66710.154,37003855409.78,1316050877556.13
2024-07-20T23:59:59.999Z,67163.645,19029581249.82,1325061487221.58
2024-07-21T23:59:59.999Z,68154.523,26652190003.57,1344591292880.38
2024-07-22T23:59:59.999Z,67585.250,42649109453.15,1333416492641.59
2024-07-23T23:59:59.999Z,65927.672,35605668665.85,1300762573330.26
2024-07-24T23:59:59.999Z,65372.133,27470942308.81,1289901286822.95
2024-07-25T23:59:59.999Z,65777.224,38315761669.6,1297746222202.46
2024-07-26T23:59:59.999Z,67912.063,30488630457.22,1340006377389
2024-07-27T23:59:59.999Z,67813.339,34691905492.17,1338003104418.14
2024-07-28T23:59:59.999Z,68255.866,18043166944.55,1346858598263.74
2024-07-29T23:59:59.999Z,66819.916,40780682628.04,1318540566549.27
2024-07-30T23:59:59.999Z,66201.016,31380492109.35,1306384437839.03
2024-07-31T23:59:59.999Z,64619.250,31292785993.69,1275323104043.98
2024-08-01T23:59:59.999Z,65357.502,40975554493.51,1289712080281.71
2024-08-02T23:59:59.999Z,61415.065,43060875727.45,1212008164272.18
2024-08-03T23:59:59.999Z,60680.095,31753030589.34,1197456370706.16
2024-08-04T23:59:59.999Z,58116.977,31758917219.16,1146844860380.54
2024-08-05T23:59:59.999Z,53991.458,108991085584.42,1065580794793.2
2024-08-06T23:59:59.999Z,56034.317,49300484106.29,1106050307069.4
2024-08-07T23:59:59.999Z,55027.461,41637562184.67,1086125591738.96
2024-08-08T23:59:59.999Z,61710.138,45298472566.63,1218352191431.14
2024-08-09T23:59:59.999Z,60880.112,33425553115.27,1201660191806.74
2024-08-10T23:59:59.999Z,60945.813,15745822278.31,1202940345184.08
2024-08-11T23:59:59.999Z,58719.483,22759754812.06,1159042118919.04
2024-08-12T23:59:59.999Z,59354.514,37078637820.19,1171638477214.27
2024-08-13T23:59:59.999Z,60609.567,30327698167.09,1196435943982.72
2024-08-14T23:59:59.999Z,58737.271,29961696179.78,1159393319243.89
2024-08-15T23:59:59.999Z,57560.098,35682112440.15,1136267308779.81
2024-08-16T23:59:59.999Z,58894.104,29350938673.14,1162612186428.42
2024-08-17T23:59:59.999Z,59478.971,13589684021.38,1173983398000.89
2024-08-18T23:59:59.999Z,58483.965,17740625837.21,1154518920582.08
2024-08-19T23:59:59.999Z,59493.452,25911207712.1,1174536992004.58
2024-08-20T23:59:59.999Z,59012.791,31613400007.92,1165118855138.42
2024-08-21T23:59:59.999Z,61175.192,32731154072.02,1207652524160.56
2024-08-22T23:59:59.999Z,60381.912,27625734376.65,1192142090606.28
2024-08-23T23:59:59.999Z,64094.357,42530509233.24,1265681609173.33
2024-08-24T23:59:59.999Z,64178.991,21430585163.21,1267143884943.4
2024-08-25T23:59:59.999Z,64333.544,18827683555.12,1270273035259.48
2024-08-26T23:59:59.999Z,62880.659,27682040631.48,1241593608804.03
2024-08-27T23:59:59.999Z,59504.133,39103882197.72,1175040861567.76
2024-08-28T23:59:59.999Z,59027.627,40289564698.25,1165584605051.06
2024-08-29T23:59:59.999Z,59388.181,32224990582.03,1172740960639.8
2024-08-30T23:59:59.999Z,59119.475,32292756404.79,1167450891056.22
2024-08-31T23:59:59.999Z,58969.898,12403470760.22,1164522862133.13
2024-09-01T23:59:59.999Z,57325.488,24592449996.84,1132107052433.14
2024-09-02T23:59:59.999Z,59112.480,27036454524.41,1167274281774.19
2024-09-03T23:59:59.999Z,57431.023,26666961052.67,1134203956918.77
2024-09-04T23:59:59.999Z,57971.541,35627680311.93,1144922067905.65
2024-09-05T23:59:59.999Z,56160.487,31030280656.27,1109173176845.09
2024-09-06T23:59:59.999Z,53948.752,49361693566.14,1065529160549.42
2024-09-07T23:59:59.999Z,54139.689,19061486526.14,1069483234366.22
2024-09-08T23:59:59.999Z,54841.566,18268287531.02,1083415774482.94
2024-09-09T23:59:59.999Z,57019.535,34618096173.33,1126266856954.79
2024-09-10T23:59:59.999Z,57648.712,28857630506.88,1138738372572.7
2024-09-11T23:59:59.999Z,57343.171,37049062671.53,1132692864304.88
2024-09-12T23:59:59.999Z,58127.011,33835707948.72,1148268024284.08
2024-09-13T23:59:59.999Z,60571.299,32490528355.5,1196466210707.58
2024-09-14T23:59:59.999Z,60005.119,16428405496.29,1185265247315.9
2024-09-15T23:59:59.999Z,59182.835,18120960866.97,1169182849928.94
2024-09-16T23:59:59.999Z,58192.507,32032822113.39,1149595000633.19
2024-09-17T23:59:59.999Z,60308.538,38075570117.66,1191434667557.74
2024-09-18T23:59:59.999Z,61649.679,40990702890.6,1217976155884.66
2024-09-19T23:59:59.999Z,62940.457,42710252572.5,1243489914823.71
2024-09-20T23:59:59.999Z,63192.975,35177164222.14,1248317992550.81
2024-09-21T23:59:59.999Z,63394.839,14408616220.03,1252541488640.3
2024-09-22T23:59:59.999Z,63648.710,20183348802.13,1257434508161.25
2024-09-23T23:59:59.999Z,63329.802,31400285425.2,1251214895782.2
2024-09-24T23:59:59.999Z,64301.967,29938335243.03,1270523906052.13
2024-09-25T23:59:59.999Z,63143.146,25078377699.65,1247551422563.2
2024-09-26T23:59:59.999Z,65181.021,36873129847.33,1287929596336.16
2024-09-27T23:59:59.999Z,65790.662,32058813449.4,1300039501550.01
2024-09-28T23:59:59.999Z,65887.649,15243637983.9,1301977287120.42
2024-09-29T23:59:59.999Z,65635.308,14788214574.54,1296984728119.06
2024-09-30T23:59:59.999Z,63329.498,37112957474.81,1251461875405.87
2024-10-01T23:59:59.999Z,60837.010,50220923499.58,1202222321937.7
2024-10-02T23:59:59.999Z,60632.786,40762722397.63,1198224649900.69
2024-10-03T23:59:59.999Z,60759.401,36106447278.67,1200668382436.2
2024-10-04T23:59:59.999Z,62067.477,29585472513.07,1226647958541.08
2024-10-05T23:59:59.999Z,62089.948,13305410748.72,1227021845844.29
2024-10-06T23:59:59.999Z,62818.954,14776233666.91,1241559389621.88
2024-10-07T23:59:59.999Z,62236.659,34253562610.48,1229782194408.04
2024-10-08T23:59:59.999Z,62131.968,28134475156.91,1228037977784.51
2024-10-09T23:59:59.999Z,60582.101,27670982363.46,1197429647366.86
2024-10-10T23:59:59.999Z,60274.498,30452813570.16,1191400599851.04
2024-10-11T23:59:59.999Z,62445.089,30327141594.18,1234303474603.03
2024-10-12T23:59:59.999Z,63193.023,16744110885.86,1249123856891.37
2024-10-13T23:59:59.999Z,62851.375,18177529689.88,1242341595990.99
2024-10-14T23:59:59.999Z,66046.128,43706958055.79,1305664072036.41
2024-10-15T23:59:59.999Z,67041.107,48863870878.62,1325307318851.9
2024-10-16T23:59:59.999Z,67612.721,38195189533.82,1336696892492.18
2024-10-17T23:59:59.999Z,67399.833,32790898510.76,1332816990035.49
2024-10-18T23:59:59.999Z,68418.789,36857165014.36,1352611490621.36
2024-10-19T23:59:59.999Z,68362.733,14443497907.64,1351535266982.96
2024-10-20T23:59:59.999Z,69001.707,18975847518.28,1364212669154.26
